Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum
2026-07-20 15:58,AHSGY,20.76,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 20.38 (%1.9 altta),17.24-19.48 (%6.2 altta),24.19-26.14 (%16.5 üstte),19.04,54.25,44.74,-0.25,
2026-07-20 15:58,ASELS,359.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 356.96 (%0.7 altta) | EMA100 Direnç: 360.33 (%0.2 üstte),171.28-177.57 (%50.6 altta),-,17.48,45.32,33.92,-0.48,
2026-07-20 15:58,BIMAS,398.75,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 388.75 (%2.5 altta),236.44-244.88 (%38.6 altta),-,20.65,61.79,89.37,0.86,
2026-07-20 15:58,ENJSA,106.1,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 104.21 (%1.8 altta) | EMA100 Direnç: 106.41 (%0.3 üstte),-,-,10.35,52.84,81.87,-0.05,
2026-07-20 15:58,ENKAI,90.45,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 86.41 (%4.5 altta) | EMA5 Direnç: 90.61 (%0.2 üstte),-,110.50-113.50 (%22.2 üstte),4.68,45.06,76.73,-0.43,
2026-07-20 15:58,GLRMK,161.8,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 161.69 (%0.1 altta) | EMA21 Direnç: 166.67 (%3.0 üstte),150.00-161.40 (%0.2 altta),195.30-205.40 (%20.7 üstte),-8.78,41.08,88.85,-0.76,
2026-07-20 15:58,IZENR,9.08,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 8.89 (%2.1 altta) | EMA21 Direnç: 9.40 (%3.5 üstte),-,-,-6.99,42.68,56.9,-0.71,
2026-07-20 15:58,MGROS,655.5,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 653.76 (%0.3 altta),415.39-429.68 (%34.4 altta),693.50-706.00 (%5.8 üstte),10.46,51.68,73.95,-0.44,
2026-07-20 15:58,MIATK,33.1,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 33.53 (%1.3 üstte),-,-,-18.33,34.2,80.8,-0.61,
2026-07-20 15:58,MPARK,428.25,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 426.92 (%0.3 altta) | EMA100 Direnç: 435.16 (%1.6 üstte),-,-,4.39,49.31,81.88,-0.3,
