Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI,EMA_200_Durumu,BB_Bant_Durum,EMA_Durumu
2026-07-17 21:35,AIQ,58.95,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 58.62 (%0.6 altta) | EMA5 Direnç: 61.82 (%4.9 üstte),18.01-19.44 (%67.0 altta),-,52.82,26.63,0.54,,,
2026-07-17 21:35,ALUM.L,4.22,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 4.11 (%2.6 altta) | EMA5 Direnç: 4.30 (%1.9 üstte),3.04-3.12 (%26.2 altta),-,44.5,6.0,-0.76,,,
2026-07-17 21:35,BZ=F,88.24,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 86.52 (%2.0 altta),58.72-61.50 (%30.3 altta),-,51.79,17.97,-0.76,,,
2026-07-17 21:35,CCJ,85.64,🩸 SAT (Trend Kırıldı),🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🚨Fiyat Bandın Altında!,EMA100 Destek: 82.46 (%3.7 altta) | EMA55 Direnç: 95.44 (%11.4 üstte),-,-,36.52,0.0,-0.92,,,
2026-07-17 21:35,CGW,65.8,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 65.20 (%0.9 altta),53.05-56.64 (%13.9 altta),-,56.18,91.45,0.14,,,
2026-07-17 21:35,COPA,44.56,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 41.99 (%5.8 altta) | EMA5 Direnç: 47.44 (%6.4 üstte),19.25-23.36 (%47.6 altta),-,46.24,2.4,-0.2,,,
2026-07-17 21:35,COPX,73.38,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 70.89 (%3.4 altta) | EMA5 Direnç: 77.07 (%5.0 üstte),31.97-39.53 (%46.1 altta),-,45.18,1.71,-0.63,,,
2026-07-17 21:35,EEM,63.4,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 58.35 (%8.0 altta) | EMA21 Direnç: 63.83 (%0.7 üstte),40.14-44.04 (%30.5 altta),-,51.27,9.75,0.3,,,
2026-07-17 21:35,EWZ,35.16,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 35.16 (%0.0 altta) | EMA21 Direnç: 35.82 (%1.9 üstte),24.32-26.65 (%24.2 altta),-,48.42,19.58,-0.83,,,
2026-07-17 21:35,GC=F,4017.1,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 3753.15 (%6.6 altta) | EMA5 Direnç: 4126.31 (%2.7 üstte),1808.80-1843.00 (%54.1 altta),-,37.33,8.4,-0.97,,,
